year,state_abb,county_name,county_fips,votes_dem,votes_rep,votes_all
2000,AL,AUTAUGA,01001,4942,11993,17208
2004,AL,AUTAUGA,01001,4758,15196,20081
2008,AL,AUTAUGA,01001,6093,17403,23641
2012,AL,AUTAUGA,01001,6363,17379,23932
2016,AL,AUTAUGA,01001,5936,18172,24973
2020,AL,AUTAUGA,01001,7503,19838,27770
2000,AL,BALDWIN,01003,13997,40872,56480
2004,AL,BALDWIN,01003,15599,52971,69320
2008,AL,BALDWIN,01003,19386,61271,81413
2012,AL,BALDWIN,01003,18424,66016,85338
2016,AL,BALDWIN,01003,18458,72883,95215
2020,AL,BALDWIN,01003,24578,83544,109679
2000,AL,BARBOUR,01005,5188,5096,10395
2004,AL,BARBOUR,01005,4832,5899,10777
2008,AL,BARBOUR,01005,5697,5866,11630
2012,AL,BARBOUR,01005,5912,5550,11509
2016,AL,BARBOUR,01005,4871,5454,10469
2020,AL,BARBOUR,01005,4816,5622,10518
2000,AL,BIBB,01007,2710,4273,7101
2004,AL,BIBB,01007,2089,5472,7600
2008,AL,BIBB,01007,2299,6262,8644
2012,AL,BIBB,01007,2202,6132,8420
2016,AL,BIBB,01007,1874,6738,8819
2020,AL,BIBB,01007,1986,7525,9595
2000,AL,BLOUNT,01009,4977,12667,17973
2004,AL,BLOUNT,01009,3938,17386,21504
2008,AL,BLOUNT,01009,3522,20389,24267
2012,AL,BLOUNT,01009,2970,20757,24006
2016,AL,BLOUNT,01009,2156,22859,25588
2020,AL,BLOUNT,01009,2640,24711,27588
2000,AL,BULLOCK,01011,3395,1433,4904
2004,AL,BULLOCK,01011,3210,1494,4717
2008,AL,BULLOCK,01011,4011,1391,5415
2012,AL,BULLOCK,01011,4061,1251,5322
2016,AL,BULLOCK,01011,3530,1140,4710
2020,AL,BULLOCK,01011,3446,1146,4613
2000,AL,BUTLER,01013,3606,4127,7803
2004,AL,BUTLER,01013,3413,4979,8416
2008,AL,BUTLER,01013,4188,5485,9709
2012,AL,BUTLER,01013,4374,5087,9496
2016,AL,BUTLER,01013,3726,4901,8732
2020,AL,BUTLER,01013,3965,5458,9488
2000,AL,CALHOUN,01015,15781,22306,38909
2004,AL,CALHOUN,01015,15083,29814,45249
2008,AL,CALHOUN,01015,16334,32348,49242
2012,AL,CALHOUN,01015,15511,30278,46257
2016,AL,CALHOUN,01015,13242,32865,47864
2020,AL,CALHOUN,01015,15216,35101,50983
2000,AL,CHAMBERS,01017,5616,6037,11834
2004,AL,CHAMBERS,01017,5347,7622,13032
2008,AL,CHAMBERS,01017,6799,8067,14956
2012,AL,CHAMBERS,01017,6871,7626,14611
2016,AL,CHAMBERS,01017,5784,7843,13900
