state_abb,county_name,votes_all,dem_margin
AL,AUTAUGA,28281,-0.46
AL,BALDWIN,122249,-0.58
AL,BARBOUR,9855,-0.15
AL,BIBB,9257,-0.64
AL,BLOUNT,28163,-0.81
AL,BULLOCK,4111,0.46
AL,BUTLER,8480,-0.23
AL,CALHOUN,48653,-0.45
AL,CHAMBERS,14245,-0.23
AL,CHEROKEE,13006,-0.75
AL,CHILTON,19763,-0.72
AL,CHOCTAW,6656,-0.24
AL,CLARKE,11958,-0.17
AL,CLAY,6767,-0.7
AL,CLEBURNE,7651,-0.83
AL,COFFEE,22319,-0.58
AL,COLBERT,27160,-0.46
AL,CONECUH,6051,-0.14
AL,COOSA,5268,-0.43
AL,COVINGTON,17095,-0.72
AL,CRENSHAW,6486,-0.55
AL,CULLMAN,43146,-0.8
AL,DALE,19139,-0.52
AL,DALLAS,15547,0.32
AL,DEKALB,29660,-0.74
AL,ELMORE,41624,-0.52
AL,ESCAMBIA,14957,-0.46
AL,ETOWAH,46137,-0.56
AL,FAYETTE,8369,-0.72
AL,FRANKLIN,12097,-0.73
AL,GENEVA,12401,-0.77
AL,GREENE,4039,0.56
AL,HALE,7305,0.07
AL,HENRY,9320,-0.51
AL,HOUSTON,44349,-0.48
AL,JACKSON,23556,-0.71
AL,JEFFERSON,298704,0.1
AL,LAMAR,6890,-0.76
AL,LAUDERDALE,43637,-0.51
AL,LAWRENCE,16122,-0.62
AL,LEE,73127,-0.28
AL,LIMESTONE,53332,-0.44
AL,LOWNDES,5655,0.37
AL,MACON,7834,0.56
AL,MADISON,197617,-0.09
AL,MARENGO,9682,-0.04
AL,MARION,13543,-0.82
AL,MARSHALL,40388,-0.72
AL,MOBILE,175164,-0.16
AL,MONROE,9815,-0.23
AL,MONTGOMERY,89798,0.31
AL,MORGAN,53543,-0.52
AL,PERRY,4465,0.43
AL,PICKENS,8912,-0.23
AL,PIKE,13234,-0.25
AL,RANDOLPH,11091,-0.65
AL,RUSSELL,20718,0.02
AL,ST. CLAIR,43526,-0.64
AL,SHELBY,114698,-0.41
AL,SUMTER,5307,0.41
AL,TALLADEGA,33250,-0.34
AL,TALLAPOOSA,20023,-0.49
AL,TUSCALOOSA,85256,-0.2
AL,WALKER,29786,-0.72
AL,WASHINGTON,8441,-0.55
AL,WILCOX,5263,0.31
AL,WINSTON,11149,-0.83
AZ,APACHE,32101,0.19
AZ,COCHISE,59135,-0.23
AZ,COCONINO,70374,0.2
AZ,GILA,27698,-0.38
AZ,GRAHAM,15215,-0.48
AZ,GREENLEE,3316,-0.41
AZ,LA PAZ,7643,-0.44
AZ,MARICOPA,2061574,-0.03
AZ,MOHAVE,110693,-0.56
AZ,NAVAJO,50847,-0.17
AZ,PIMA,515027,0.15
AZ,PINAL,210173,-0.22
AZ,SANTA CRUZ,19167,0.19
AZ,YAVAPAI,149428,-0.34
AZ,YUMA,68335,-0.2
AR,ARKANSAS,5547,-0.44
AR,ASHLEY,7030,-0.48
AR,BAXTER,20954,-0.57
AR,BENTON,128595,-0.27
AR,BOONE,17112,-0.65
AR,BRADLEY,3209,-0.39
AR,CALHOUN,2092,-0.62
AR,CARROLL,11538,-0.32
AR,CHICOT,3490,0.04
AR,CLARK,7657,-0.2
AR,CLAY,4967,-0.62
AR,CLEBURNE,12739,-0.68
AR,CLEVELAND,3374,-0.68
AR,COLUMBIA,7940,-0.36
AR,CONWAY,8541,-0.4
AR,CRAIGHEAD,37242,-0.37
AR,CRAWFORD,23834,-0.58
AR,CRITTENDEN,14681,0.02
AR,CROSS,6534,-0.48
AR,DALLAS,2324,-0.3
AR,DESHA,3505,-0.05
AR,DREW,6365,-0.34
AR,FAULKNER,54465,-0.32
AR,FRANKLIN,6971,-0.62
AR,FULTON,5043,-0.62
AR,GARLAND,42327,-0.36
AR,GRANT,8078,-0.69
AR,GREENE,15820,-0.61
AR,HEMPSTEAD,6089,-0.4
AR,HOT SPRING,12283,-0.52
AR,HOWARD,4473,-0.47
AR,INDEPENDENCE,14011,-0.6
AR,IZARD,5925,-0.66
AR,JACKSON,4775,-0.49
AR,JEFFERSON,21608,0.2
AR,JOHNSON,9059,-0.51
AR,LAFAYETTE,2325,-0.38
AR,LAWRENCE,5692,-0.64
AR,LEE,2520,0.03
AR,LINCOLN,3372,-0.5
AR,LITTLE RIVER,4899,-0.54
AR,LOGAN,8205,-0.62
AR,LONOKE,30620,-0.54
AR,MADISON,7501,-0.59
AR,MARION,7851,-0.6
AR,MILLER,15803,-0.51
AR,MISSISSIPPI,10717,-0.32
AR,MONROE,2433,-0.16
AR,MONTGOMERY,3707,-0.63
AR,NEVADA,2907,-0.4
AR,NEWTON,3770,-0.64
AR,OUACHITA,8626,-0.19
AR,PERRY,4584,-0.58
AR,PHILLIPS,4938,0.13
AR,PIKE,4358,-0.73
AR,POINSETT,7079,-0.64
AR,POLK,8288,-0.7
AR,POPE,24191,-0.52
AR,PRAIRIE,3200,-0.66
AR,PULASKI,153924,0.22
AR,RANDOLPH,6636,-0.64
AR,ST. FRANCIS,5979,0.01
AR,SALINE,57609,-0.4
AR,SCOTT,3384,-0.74
AR,SEARCY,3869,-0.72
AR,SEBASTIAN,45452,-0.38
AR,SEVIER,4714,-0.62
AR,SHARP,7437,-0.63
AR,STONE,6030,-0.62
AR,UNION,15448,-0.33
AR,VAN BUREN,7621,-0.6
AR,WASHINGTON,97158,-0.07
AR,WHITE,30837,-0.61
AR,WOODRUFF,2318,-0.33
AR,YELL,6477,-0.61
CA,ALAMEDA,669907,0.54
CA,ALPINE,744,0.32
CA,AMADOR,22527,-0.28
CA,BUTTE,94556,-0.03
CA,CALAVERAS,26480,-0.28
CA,COLUSA,7021,-0.28
CA,CONTRA COSTA,528987,0.38
CA,DEL NORTE,10565,-0.16
CA,EL DORADO,111908,-0.12
CA,FRESNO,326049,-0.04
CA,GLENN,10442,-0.35
CA,HUMBOLDT,64643,0.28
CA,IMPERIAL,54038,-0.01
CA,INYO,8953,-0.03
CA,KERN,283284,-0.21
CA,KINGS,41508,-0.23
CA,LAKE,26896,-0.01
CA,LASSEN,11415,-0.54
CA,LOS ANGELES,3747099,0.33
CA,MADERA,54632,-0.21
CA,MARIN,144129,0.64
CA,MARIPOSA,9509,-0.21
CA,MENDOCINO,39219,0.27
CA,MERCED,86684,-0.04
CA,MODOC,4027,-0.47
CA,MONO,6064,0.2
CA,MONTEREY,146754,0.3
CA,NAPA,65561,0.35
CA,NEVADA,62144,0.12
CA,ORANGE,1391307,0.03
CA,PLACER,234871,-0.08
CA,PLUMAS,10070,-0.17
CA,RIVERSIDE,940510,-0.01
CA,SACRAMENTO,656747,0.2
CA,SAN BENITO,27652,0.13
CA,SAN BERNARDINO,761846,-0.02
CA,SAN DIEGO,1478028,0.17
CA,SAN FRANCISCO,402997,0.65
CA,SAN JOAQUIN,264916,-0.01
CA,SAN LUIS OBISPO,150812,0.11
CA,SAN MATEO,330565,0.5
